ID,StrategyQA Question,Modified Question,Answer,Answer Original Question,KG Entities (Labels and QIDs),KG Triples,Inference Rule,Reasoning Steps,#of Hops,Comments,,,,,
S66, Was Martin Luther same sect as Martin Luther King Jr.?,Was Majid al-Attar in the same sect as Bahjat al-Attiyah?,FALSE,FALSE,"Majid al-Attar (Q71026839), Bahjat al-Attiyah (Q12199732)

","(Majid al-Attar, religion or worldview, Shia Islam), (Bahjat al-Attiyah, religion or worldview, Sunni Islam)",Majid al-Attar and Bahjat al-Attiyah must believe in the same sect to make the answer true.,,,IN the same sect?,,,,,
S67, Could someone have arrived at Wrestlemania X in a Toyota Prius?,Could someone have arrived at a match from the Azadegan league with a brand-new Ford Parklane?,FALSE,FALSE,"Azadegan League (Q793457), Ford Parklane (Q5467899)

","(Azadegan League, inception, 1991), (Ford Parklane, discontinued date, 1956)",Ford Parklane must have been in production during the time Azadegan league was in existence to make the answer true.,,,,,,,,
S68, Was Snoop Dogg's debut studio album released on the weekend?,Was Digão’s brother playing for a club based in Brazil when Bojana Atanasovska began her career?,TRUE,FALSE,"Digão (Q316959), Bojana Atanasovska (Q63168875)
","(Bojana Atanasovska, work period (start), 2002), (Digão, sibling, Kaká), (Kaká, member of sports team, São Paulo FC[(start time, 2001), (end time, 2003)]), (São Paulo FC, country, Brazil)",The club that Digão's brother played for at the time Bojana Atanasovska began her work must be a Brazilian club to make the answer true. ,,,,,,,,
S69, Was Richard III ruler of Adelaide?,Were commands of the Soviet Union’s government effective in Vilnius one month before the day Soviet Union collapsed?,FALSE,FALSE,"Vilnius (Q216), Soviet Union (Q15180)

","(Vilnius, country, Soviet Union [(start time, July 1944), (end time, 10 March 1990
)], (Soviet Union, significant event, dissolution of the Soviet Union (point in time, 26 December 1991
))","If Vilnius was controlled by the Soviet Union government one month before the day Soviet union collapsed, commands of the Soviet Union’s government were effective there.",,,I'm not really sure what this question means lol,,,,,
S70, Would a silicon shortage be bad for Intel's sales?,Would a silicon shortage cause a crisis for Regio Călători's sales?,FALSE,TRUE,Regio Călători (Q567819),"(Regio Călători, instance of, train operating company)","If Regio Călători is involved in an industry that directly uses or produces semiconductors, a silicon shortage would cause a crisis for its sales.",,,,,,,,
S71, Is Islamophobia against Cyprus majority religion misdirected?,Would Louis Bookman accuse someone of being antisemitic if he faced religious discrimination?,TRUE,TRUE,Louis Bookman (Q6686771),"(Louis Bookman, religion or worldview, Judaism)","If Louis Bookman is a Jewish, he accuse someone of being antisemitic if he faced religious discrimination.",,,Mention religious discrimination instead of general bad treatment? e.g. Would Louis Bookman accuse someone of being antisemitic if he faced religious discrimination?,,,,,
S72, Does Amtrak operate four wheel vehicles?,Do GreenGo customers operate four wheel vehicles?,TRUE,TRUE,GreenGo (Q118978044),"(GreenGo, description, Hungary car sharing company)","If GreenGo provides four wheel vehicles for its customers, the answer of this question will be true.",,,,,,,,
S73, Did the Social Democratic Party of Germany help Frederick II become King of Prussia?,Could the Inkatha Freedom Party help Charles Robberts Swart become president?,FALSE,FALSE,"Inkatha Freedom Party (Q654444), Charles Robberts Swart (Q380398)
","(Charles Robberts Swart, position held, State President of South Africa (start time,
31 May 1961)), (Inkatha Freedom Party, inception, 21 March 1975)",Inkatha Freedom Party must have been established before the presidency of Charles Robberts Swart to be able to help him become president.,,,,,,,,
S74, Did Boris Yeltsin watch the 2008 Summer Olympics?,Could Sepp Herberger have been a suspect for the 2014 Kunming attack?,FALSE,FALSE,"Sepp Herberger (Q157820), 2014 Kunming attack (Q15856657)
","(Sepp Herberger, date of death, 28 April 1977), (2014 Kunming attack, point in time, 1 March 2014)",Sepp Herberger must have been alive during the time 2014 Kunming attack took place to have been a suspect for it.,,,,,,,,
S75, Would you be likely to see storks at a baby shower?,Would you be likely to see storks at the baby shower of Hermann Hummels’ son in 1988?,TRUE,TRUE,Hermann Hummels (Q1611556),"(Hermann Hummels, child, Mats Hummels), (Mats Hummels, date of birth, 16 December 1988)","If Hermann Hummels' son was a child in 1988, it would be likely to find storks at his shower.",,,,,,,,
S76, Was Snoop Dogg an adult when Tickle Me Elmo was popular?,Was Jean-François Gillet an adult when Lokendra Bahadur Chand left power for the last time?,TRUE,TRUE,"Jean-François Gillet (Q509996), Lokendra Bahadur Chand (Q2628548)
","(Jean-François Gillet, date of birth, 31 May 1979), (Lokendra Bahadur Chand, position held, Prime Minister of Nepal [[(start time, 12 July 1983), (end time, 21 March 1986)], [(start time, 6 April 1990), (end time, 19 April 1990)], [(start time, 12 March 1997), (end time, 7 October 1997)], [(start time, 11 October 2002), (end time, 5 June 2003)]]","If Lokendra Bahadur Chand left power for the first time after 18 years had passed from Jean-François Gillet's date of birth, Jean-François Gillet would be an adult at that time.",,,,,,,,
S77, Would it be difficult to host Stanley Cup Finals at Rock in Rio?,Would it be difficult to host the Viking Cup in the birthplace of Mihera Bint Abboud?,TRUE,TRUE,"Viking Cup (Q7929459), Mihera Bint Abboud (Q104841842)

","(Viking Cup, sport, ice hockey), (Mihera Bint Abboud, place of birth, Sudan)","If the birth place of Mihera Bint Abboud is a hot country, it would be difficult to hold an ice hockey competition there.",,,,,,,,
S78," Would the trees in Auburn, New York be changing colors in September?",Would the trees in Chelforó be changing colors in September?,FALSE,TRUE,Chelforó (Q5089871),"(Chelforó, country, Argentina)","If Chelforó is located in the southern hemisphere, trees will begin to change colors there in September.",,,,,,,,
S79, Can Amtrak's Acela Express break the sound barrier?,Would it be plausible to say that one of Regio Călători's vehicles has broken the sound barrier?,FALSE,FALSE,Regio Călători (Q567819),"(Regio Călători, instance of, train operating company)","If vehicles operated by Regio Călători are likely to reach and overpass the speed of sound, it is plausible to say one of their vehicles has broken the sound barrier.",,,,,,,,
S80, Could a firewall be destroyed by a hammer?,Could JAJC be destroyed by a hammer?,FALSE,FALSE,JAJC (Q58385),"(JAJC, instance of, free software)","If JAJC is not a physical entity, it is not possible to destroy it by a hammer.",,,,,,,,
S81, Was The Jackson 5 bigger family band than The Isley Brothers?,Did Checheyikhen make a bigger family than Naser al-Din Shah Qajar?,FALSE,,"Checheyikhen (Q7199764), Naser al-Din Shah Qajar (Q159416)
","(Checheyikhen, spouse, Turalji), (Checheyikhen, child, [Orghana, Huchuhadun, Buka-Timur, Bars buqa, Guyuk Khatun]), (Naser al-Din Shah Qajar, spouse, [Monir al-Saltaneh, Golin Khanum, Amīna Aqdas, Jeyran, Khazan al-Doulah, Anīs-al-dawla]), (Naser al-Din Shah Qajar, child, [Mozaffar ad-Din Shah Qajar, Kamran Mirza Nayeb es-Saltaneh, Masud Mirza Zell-e Soltan, Zahra Khanom Tadj es-Saltaneh, Nosrat al-Din Mirza Salar es-Saltaneh, Ahmad Mirza Azd es-Saltaneh, Touran Agha Khanoum Qajar])","If the number of spouses and children for Checheyikhen add up to a greater number than the number of spouses and children of Naser al-Din Shah Qajar, she had made a bigger family.",,,,,,,,
S82, Is a railroad engineer needed during NASCAR events?,Would a person with the same occupation as Zheng Liangshu be needed during the SCCA ProRally?,FALSE,TRUE,"Zheng Liangshu (Q9082563), SCCA ProRally (Q7389093)
","(Zheng Liangshu, occupation, sinologist), (SCCA ProRally, instance of, automobile racing series)","If Zheng Liangshu had an occupation that is related to racing automobiles, a person with the same occupation as him would be needed during the SCCA ProRally.",,,,,,,,
S83, Does the Dalai Lama believe in the divine barzakh?,Is it likely for Shappi Khorsandi to believe in the barzakh?,TRUE,FALSE,"Shappi Khorsandi (Q4346087), Barzakh (Q809688)

","(Shappi Khorsandi, religion or worldview, atheism), (Barzakh, part of, Islamic eschatology)","If Shappi Khorsandi believed in Islam, it would be likely for her to believe in barzakh.",,,,,,,,
S84, Did Helen Keller ever read a novel by J. K. Rowling?,Could Yanagiwara Naruko have read one of Shana Yardan’s works?,FALSE,FALSE,"Yanagiwara Naruko (Q8193045), Shana Yardan (Q21597720)
","(Yanagiwara Naruko, date of birth, 26 June 1859), (Yanagiwara Naruko, date of death, 16 October 1943
), (Shana Yardan, date of birth, 1942), (Shana Yardan, date of death, 2 November 1989
)","If Yanagiwara Naruko lived after Shana Yardan had written any of her works, it would be possible for Yanagiwara Naruko to have read one of Shana Yardan’s works.",,,,,,,,
S85, Can Larry King's ex-wives form a water polo team?,Did Golin Khanum’s spouse have enough wives to form a Volleyball team from them?,TRUE,TRUE,Golin Khanum (Q16046652),"(Golin Khanum, spouse, Naser al-Din Shah Qajar), (Naser al-Din Shah Qajar, spouse, [Monir al-Saltaneh, Golin Khanum, Amīna Aqdas, Jeyran, Khazan al-Doulah, Anīs-al-dawla])","If Golin Khanum's spouse had at least six wives, he had enough wives to form a volleyball team from them.",,,,,,,,
S86, Did Mike Tyson train to use the gogoplata?,Did Jürgen Brähmer train to use the gogoplata?,FALSE,FALSE,Jürgen Brähmer (Q95438),"(Jürgen Brähmer, sport, boxing)","If Jürgen Brähmer isn't involved in a sport such as mixed martial arts (MMA) and Brazilian Jiu-Jitsu (BJJ), he wouldn't use a gogoplata.",,,,,,,,
S87, Did Jane Austen suffer from middle child syndrome?,Could Paolo Cannavaro have suffered from middle child syndrome?,FALSE,FALSE,Paolo Cannavaro (Q311956),"(Paolo Cannavaro, sibling, Fabio Cannavaro)","If Paolo Cannavaro has at least one older and one younger sibling, he could have suffered from middle child syndrome.",,,,,,,,
S88, Are there people who are men who experience menstruation?,Is it possible for Rinu to have experienced menstruation?,TRUE,TRUE,Rinu (Q85883453),"(Rinu, sex or gender, trans man)","If Rinu had the experience of being a woman, he could have experience mensturation.",,,,,,,,
S89, Are Brian Cranston and Saoirse Ronan's combined Emmy Awards a prime number?,Does the number of clubs that Gienir Garcia played for and the number of clubs that Ismael Rodriguez played for add up to a prime number?,TRUE,FALSE,"Gienir García (Q5559786), Ismael Rodríguez (Q2301530)

","(Gienir García, member of sports team, [Club de Futbol Ballenas Galeana Morelos, Cruz Azul Hidalgo, Cruz Azul, CF Montréal, Cruz Azul Hidalgo]), (Ismael Rodríguez, member of sports team, [Club América, Querétaro F.C., Club de Fútbol Monterrey, Atlético Irapuato, C.D. Águila, ])","If the result of adding the number of clubs Gienir Garcia and Ismael Rodriguez played for is a natural number greater than 1 that cannot be formed by multiplying two smaller natural numbers, the answer is true.",,,,,,,,
S90, Would an American feel lost due to language barriers at Disneyland Paris?,Would Juan Cuda feel lost due to language barriers at Reggio Emilia?,FALSE,FALSE,"Juan Cuda (Q3810821), Reggio Emilia (Q13360)
","(Juan Cuda, languages spoken, written or signed, Italian), (Reggio Emilia, country, Italy)","If Juan Cuda is able to speak the language used in Reggio Emilia, he wouldn't feel lost due to language barriers at Reggio Emilia.",,,,,,,,
S91, Is Rurouni Kenshin from same country as lead character in Nobunaga's Ambition?,Is Jang Na-ra from the same country as the director of Okja?,TRUE,TRUE,"Jang Na-ra (Q494190), Okja (Q23932553)
","(Jang Na-ra, country of citizenship, South Korea), (Okja, director, Bong Joon-ho), (Bong Joon-ho, country of citizenship, South Korea)","If the country of citizenship of Jang Na-ra and the director of Okja movie are the same, the answer is true.",,,,,,,,
S92, Did Immanuel Kant ever meet the 14th president of the United States?,Could Milla Jadot have received an official invitation from the Czechoslovakia government?,FALSE,FALSE,"Milla Jadot (Q75767443), Czechoslovakia (Q33946)
","(Milla Jadot, date of birth, 30 November 2005), (Czechoslovakia, dissolved, abolished or demolished date, 31 December 1992)",Milla Jadot must have been alive during the time Czechoslovakia was in existence to be able to have received an official invitation from the Czechoslovakia government.,,,,,,,,
S93, Did Martin Luther believe in Satan?,Is it likely for Johann Richmann to believe in Satan?,TRUE,TRUE,"Johann Richmann (Q55100574), Satan (Q35230)
","(Johann Richmann, occupation, pastor), (Satan, description, entity in the Abrahamic religions that tells others to do sinful actions)","If Johann Richman believed in an Abrahamic religion, he would be likely to believe in Satan.",,,,,,,,
S94, Is it common for women to have moustaches?,Is it likely for Lionel Lundell to have a mustache in 2024?,FALSE,FALSE,Lionel Lundell (Q98358016),"(Lionel Lundell, date of birth, 12 August 2020)","If Lionel Lundell is not an adult man in 2024, it would be unlikely for him to have a moustache.",,,,,,,,
S95, Can a Toyota Supra make a vlog?,Could an IKCO Samand make a vlog on its own?,FALSE,FALSE,IKCO Samand (Q677378),"(IKCO Samand, instance of, automobile model)",IKCO Samand must be a human to be able to make a vlog by its own.,,,,,,,,
S96, Does Adam Sandler skip celebrating Easter?,Is it likely for Adrian Rochet to skip celebrating Easter?,TRUE,TRUE,"Adrian Rochet (Q2825049), Easter (Q21196)
","(Adrian Rochet, religion or worldview, Judaism), (Easter, description, Christian festival and holiday the resurrection of Jesus Christ)","If Adrian Rochet believes in Christianity, he is likely to celebrate Easter.",,,,,,,,
S97, Would Statue of Liberty be visible if submerged in Bohai Sea?,Would the top of the Dome of Soltaniyeh be visible if you submerge it in Urmia lake?,TRUE,TRUE,"Dome of Soltaniyeh (Q20645774), Urmia Lake (Q199551)
","(Dome of Soltaniyeh, height, 49 metre), (Urmia Lake, vertical depth, 16 metre)
","If the height of Dome of Soltaniyeh is greater than the vertical depth of Urmia Lake, its top would be visible if you submerge it in Urmia lake.",,,,,,,,
S98, Is the Matrix a standalone movie?,Is Geats Extra: Kamen Rider PunkJack a standalone movie?,FALSE,FALSE,Geats Extra: Kamen Rider PunkJack (Q118369339),"(Geats Extra: Kamen Rider PunkJack, part of the series, [Kamen Rider, Toei Tokusatsu Universe, Kamen Rider Geats])","If Geats Extra: Kamen Rider PunkJack is not a part of a movie series, it could be considered a standalone movie.",,,,,,,,
S99, Do children's bicycles often have extra wheels?,Is it likely for Lionel Lundell to ride a bike with extra wheels in 2024?,TRUE,TRUE,Lionel Lundell (Q98358016),"(Lionel Lundell, date of birth, 12 August 2020)","If Lionel Lundell is a child in 2024, it is likely for him to use extra wheels when riding a bike.",,,,,,,,
S100, Would most school children in New York be wearing jackets on groundhog day?,Would most people in New York be wearing jackets on Rajyavardhan Rathore’s birthday?,TRUE,TRUE,"New York City (Q60), Rajyavardhan Rathore (Q982805)
","(New York City, country, United States of America), (Rajyavardhan Rathore, date of birth, 29 January 1970)","If Rajyavardhan Rathore's birthdate is in Winter in the northern hemisphere, it is likely that most people would be wearing jackets in New York City. ",,,,,,,,
S101, Did Jesus go to school to study railroad engineering?,Could Ibn al-Muqaffa' have studied railroad engineering?,FALSE,FALSE,Ibn al-Muqaffa' (Q1060637),"(Ibn al-Muqaffa', date of birth, 724), (Ibn al-Muqaffa', date of death, 756)",Ibn al-Muqaffa' must have lived after the invention of railroad and inception of railroad engineering major to be able to have studied it.,,,,,,,,
S102," Would mooncakes be easy to find in Chinatown, Manhattan?",Is it likely to find mooncakes in the birthplace of Ian Barbour?,TRUE,TRUE,"mooncake (Q197969), Ian Barbour (Q525883)
","(mooncake, description, Chinese bakery product traditionally eaten during the Mid-Autumn Festival), (Ian Barbour, place of birth, Beijing), (Beijing, country, People's Republic of China)","If the birth place of Ian Barbour has a considerable Chinese population, it is likely to find mooncakes there.",,,,,,,,
S103, Was King Arthur at the beheading of Anne Boleyn?,Could Mahmud of Ghazni have been at the execution of Mansur Al-Hallaj?,FALSE,FALSE,"Mahmud of Ghazni (Q189271), Mansur Al-Hallaj (Q172862)
","(Mahmud of Ghazni, date of birth, 2 November 971), (Mahmud of Ghazni, date of death, 30 April 1030), (Mansur Al-Hallaj, date of birth, 858), (Mansur Al-Hallaj, date of death, 26 March 922)",Mahmud of Ghazni must have been alive at the time Mansur Al-Hallaj was being executed for him to be possible to be present at the execution.,,,,,,,,
S104, Could the children of Greek hero Jason hypothetically fill a polo team?,Could Kim Dae-jung form a polo team from his children?,FALSE,TRUE,Kim Dae-jung (Q45785),"(Kim Dae-jung, child, Kim Hong-gul), (Kim Dae-jung, child, Kim Hong-il), (Kim Dae-jung, child, Kim Hong-eop)","If Kim Dae-jung had at least four children, he could form a polo team from them.",,,,,,,,
S105, Could an escapee swim nonstop from Alcatraz island to Siberia?,Could an escapee swim nonstop from Kfarfou to Bezenjan?,FALSE,FALSE,"Kfarfou (Q6398693), Bezenjan (Q4359607)
","(Kfarfou, country, Lebanon), (Bezenjan, country, Iran)","If the distance between Kfarfou and Bezenjan is reasonable and there is a body of water between them, it would be possible for an escapee to swim between them,",,,,,,,,
S106, Could Casio's first invention be worn around the ankle?,Could any product of the Yerevan Jewellery Plant be worn around the ankle?,FALSE,FALSE,Yerevan Jewellery Plant (Q21658193),"(Yerevan Jewellery Plant, product or material produced or service provided, [
earring, necklace, ring, bracelet, wristwatch, medallion])",If Yerevan Jewellery Plant produces pieces of jewellery that can be worn around the ankle (such as anklets) the answer is yes.,,,wikidata products does not include anything for ankle,,,,,
S107, Does Zelda Williams have any cousins on her father's side?,Did Vincenzo Gamba have any cousins on his father's side?,TRUE,FALSE,Vincenzo Gamba (Q7932232),"(Vincenzo Gamba, father, Galileo Galilei), (Galileo Galilei, sibling, Michelagnolo Galilei), (Michelagnolo Galilei, child, Vincenzo Galilei)","If any of Vincenzo Gamba's father's siblings had a child, he had a cousin from his father's side.",,,,,,,,
S108, Would Recep Tayyip Erdoğan be unfamiliar with börek?,Would it be very likely for Mostafa Salimi to be familiar with Sholezard?,TRUE,FALSE,"Mostafa Salimi (Q6916878), sholezard (Q20987994)

","(Mostafa Salimi, country of citizenship, Iran), (sholezard, part of Iranian cuisine)","If Mostafa Salimi is familiar with the cuisine that Sholezard is part of it, it would be very likely for him to be familiar with it.  ",,,,,,,,
S109, Did children read Harry Potter and the Philosopher's Stone during the Albanian Civil War?,Could people have read Mjegull during the Perak war?,FALSE,FALSE,"Mjegull (Q13042955), Perak War (Q7166879)
","(Mjegull, publication date, 2009), (Perak War, start time, 1875), (Perak War, start time, 1876)",Mjegull must have been published before the Perak War for people to be able to read it during the Perak war. ,,,,,,,,
S110, Did any of Maya Angelou's children follow in her footsteps?,Did any of Ibrahim Moustafa's children follow in his footsteps?,TRUE,TRUE,Ibrahim Moustafa (Q377336),"(Ibrahim Moustafa, occupation, amateur wrestler), (Ibrahim Moustafa, child, Adel Ibrahim Moustafa), (Adel Ibrahim Moustafa, occupation, amateur wrestler)","If the occupation of any of Ibrahim Moustafa's children was the same as his occupation, the answer to the question is yes.",,,,,,,,
S111, Did Tony Bennett have more children than he had wives?,Did Orhan Ghazi have more wives than children?,TRUE,TRUE,Orhan (Q133168),"(Orhan, spouse, [Nilüfer Hatun, Asporça Hatun, Theodora Kantakuzini, Eftandise Hatun]), (Orhan, child, [Murad I, Gazi Süleyman paşa, Halil Bey])","If the number of Orhan's spouses is greater than the number of his children, the answer to the question is yes.",,,,,,,,
S112, Is it unusual to play Happy hardcore music at a funeral?,Is it unusual to play Hava Naquila music at a funeral?,TRUE,TRUE,Hava Naquila (Q5683019),"(Hava Naquila, genre, happy hardcore)","If Hava Naquilla has a happy theme, it would be unusual to play it at a funeral.",,,,,,,,
S113, Would Communist Party of the Soviet Union hypothetically support Trickle Down Economics?,Would Zhou Xing prefer a centrally planned economy over a market economy?,TRUE,FALSE,Zhou Xing (Q8294683),"(Zhou Xing, member of political party, Chinese Communist Party)","If Zhou Xing supported a political idealogoy that advocates for centrally-planned economy, such as communism or its variants, the answer to the question is yes.",,,,,,,,
S114, Is breakdancing safe for people with tendonitis?,Would tendonitis seriously impact Samender Juginisov’s ability to do his job?,TRUE,FALSE,Samender Juginisov (Q7409279),"(Samender Juginisov, occupation, basketball player)","If Semender Juginisov's occupation involves considerable physical activity, tendonitis seriously impacts his ability to do his job.",,,,,,,,
S115, Can a Muslim eat a McRib sandwich?,Is it likely for Umid Zokirov to avoid eating a McRib sandwich?,TRUE,FALSE,"Umid Zokirov (Q104439360), McRib (Q3058650)
","(Umid Zokirov, religion or worldview, Islam), (McRib, description, barbecue-flavored pork sandwich periodically sold by the international fast food restaurant chain McDonald's)","If Umid Zokirov practices a religion or a kind of diet that restrics eating any of the ingredients of McRib sandwiches, he would be likely to avoid a McRib sandwich.",,,,,,,,
S116, Was a USB flash drive used in The Godfather?,Could a USB flash drive be pictured in Osmondagi bolalar?,TRUE,FALSE,"Osmondagi bolalar (Q7107217), USB flash drive (Q1647694)
","(Osmondagi bolalar, description, 2002 film by Zulfikar Musakov), (USB flash drive, inception, 1996)","If Osmondagi bolalar was produced after the invention of USB flashes, it would be possible to be shown in that movie.",,,,,,,,
S117, Can a software engineer work during a power outage?,Can Leah Silber continue doing her job during a power outage?,FALSE,FALSE,Leah Silber (Q104695572),"(Leah Silber, occupation, software developer)","If Leah Silber's job involves use of an equipment that relies on electricity to work, she can't continue her job during a power outage.",,,,,,,,
S118, Does American Independence Day occur during autumn?,Does Afghan Independence Day occur during Summer?,TRUE,FALSE,Afghan Independence Day (Q4689078),"(Afghan Independence Day, day in year for periodic occurrence, August 19)","If the Afghan Independence day occurs in one of the months that are considered as summer in the northern hemisphere (June, July, and August), it occurs during summer.",,,,,,,,
S119, Did Karl Marx influence the communist party of China?,Did Karl Marx influence Ludwig Aigner's political views?,TRUE,TRUE,"Karl Marx (Q9061), Ludwig Aigner (Q107570647)
","(Ludwig Aigner, political ideology, communism), (Karl Marx, notable work, The Communist Manifesto)","If Ludwig Aigner believes in Communism, his political views were influenced by Karl Marx.",,,,,,,,
S120, Do workers at Nissan's headquarters eat with chopsticks?,Are workers at Vidol likely to eat with chopsticks?,TRUE,TRUE,Vidol (Q28417095),"(Vidol, country of origin, Taiwan)","If Vidol is located in a country where people mostly use chopsticks, it is likely for its workers to also use chopsticks.",,,,,,,,
S121, Is accountant a difficult profession for a person suffering from Dyscalculia?,Would Harold Hugh Keen’s ability to perform his job be substantially influenced if he suffered from Dyscalculia?,TRUE,TRUE,"Harold Hugh Keen (Q75761932), dyscalculia (Q742672)
","(Harold Hugh Keen, occupation, accountant), (dyscalculia, instance of, Mathematical disorder)","If Haroold Hugh Keen's occupation is related to Mathematics, his ability to perform his job would be substantially influenced if he suffered from Dyscalculia.",,,,,,,,
S122, Did Douglas Adams use email as a child?,Could Myrto Altinoglou use email when she was a child?,FALSE,FALSE,Myrto Altinoglou (Q61988969),"(Myrto Altinoglou, date of birth, 1927)",Myrto Altinoglou's childhood must have been after the invention of email for her to be able to use email when she was a child.,,,,,,,,
S123, Could the Eiffel Tower be completely submerged at the Arctic Ocean's deepest point?,Could the Alaviyan Dome be completely submerged at Lake Vanda’s deepest point?,TRUE,TRUE,"Alaviyan Dome (Q5910145), Lake Vanda (Q1190747)
","(Alaviyan Dome, height, 11.5 metre), (Lake Vanda, vertical depth, 69 metre)","If the depth of Lake Vanda is greater than the height of Alaviyan Dome, it is possible to completely submerge Alaviyan Dome in it.",,,,,,,,
S124, Did Alan Turing suffer the same fate as Abraham Lincoln?,Did Ivan Shuisky suffer the same fate as Benny Frey?,TRUE,FALSE,"Ivan Shuisky (Q4527412), Benny Frey (Q4889976)
","(Ivan Shuisky, cause of death, carbon monoxide poisoning), (Benny Frey, cause of death, carbon monoxide poisoning)","If Ivan Shuisky and Benny Frey have died in the same manner, we can consider them to have experienced the same fate. ",,,,,,,,
S125, Did George Washington drive a Lexus?,Could Khalil Rabenou have bought a car from Iran Khodro Diesel?,FALSE,FALSE,"Khalil Rabenou (Q110887995), Iran Khodro Diesel (Q6066811)
","(Khalil Rabenou, date of death, 19 May 1961), (Iran Khodro Diesel, inception, 1966)",Khalil Rabenou must have been alive during the time Iran Khodro Diesel existed and was active to be able to purchase a car from it.,,,,,,,,
S126, Did Jackie Kennedy wear Dolce & Gabbana to her husband's inauguration?,Could Nusrat Bhutto have worn a Mountain Warehouse jacket when her husband became president?,FALSE,FALSE,"Nusrat Bhutto (Q327424), Mountain Warehouse (Q6925414)
","(Nusrat Bhutto, spouse, Zulfiqar Ali Bhutto), (Zulfiqar Ali Bhutto, position held, president of Pakistan(start time, 20 December 1971)), (Mountain Warehouse, inception, 1997)",Nusrat Bhutto's husband must have become a president after Mountain Warehouse was founded and began its activity for the answer to be yes.,,,,,,,,
S127, Was Godfrey of Bouillon an Islamaphobe?,Was Mario Scialoja likely to be an Islamophobe?,FALSE,TRUE,Mario Scialoja (Q6764962),"(Mario Scialoja, religion or worldview, Sunni Islam)","If Mario Scialoja is in clear disagreement with Islam and Muslims and advocates discrimination against them, he is likely to be an Islamophobe.",,,,,,,,
S128, Was the Eiffel tower used as a symbol of the French Revolution?,Could the Blue House be used as a symbol of the Korean War?,FALSE,FALSE,"Blue House (Q494577), Korean War (Q8663)
","(Blue House, inception, 1991), (Blue House, description, former official residence of the president of South Korea), (Korean War, start time, 25 June 1950), (Korean War, end time, 27 July 1953)","If Blue House was established around the time the Korean war happened or was ended and is known to have a considerable relation to the war, it can be considered as a symbol of the Korean war.",,,,,,,,
S129, Did any citizen of San Antonio vote for Boris Johnson?,Could Ri Song-hui have voted for Roh Moo-hyun?,FALSE,FALSE,"Ri Song-hui (Q447861), Roh Moo-hyun (Q14345)
","(Ri Song-hui, country of citizenship, North Korea), (Roh Moo-hyun, description, 16th President of the Republic of Korea (1946–2009))","If Ri Song-hui is a South Korean citizen who was eligible to vote at the time Roh Moo-hyun was being elected, he could have voted for him.",,,,,,,,
S130, Can Aerosmith fit in a 2020 Mitsubishi Outlander?,Could all of Fath-Ali Shah Qajar’s children hypothetically sit comfortably in a Toyota Corolla?,FALSE,TRUE,"Fath-Ali Shah Qajar (Q175299), Toyota Corolla (Q243543)
","(Fath-Ali Shah Qajar, child, [Abbas Mirza, Dowlatshah, 
Aliqoli Mirza Etezado-ol-Saltaneh, 
Mohammad Taqi Mirza, Hasan Ali Mirza, Husayn Ali Mirza, Mohammad Vali Mirza, Soltan Ahmad Mirza Azod od-Dowleh, Soleyman Mirza Qajar, Omm Salmeh, Parviz Mirza, Saifullah Mirza, Fakhr-i Jahan Khanum), (Toyota Corolla, subclass of, subcompact car)","If Fath-Ali Shah Qajar had less children than the capacity of a Toyota Corolla, they could comfortably fit in a Toyota Corolla.",,,,,,,,
S131, Would a CEO typically clean the toilets in a company's building?,Would Pinar Abay typically clean toilets at ING Bank N.V. headquarters?,FALSE,FALSE,"Pinar Abay (Q111983477), ING Bank N.V. (Q2304977)

","(Pinar Abay, position held, chief executive officer (of, ING Bank N.V.))","If Pinar Abay has a position in ING Bank N.V. that typically involves cleaning toilets, such as being a janitor, it would be likely for him to typically clean toilets there.",,,,,,,,
S132, Does Robert De Niro use a microscope at work?,Would Süreyya Tahsin Aygün typically use a microscope at work?,TRUE,FALSE,"Süreyya Tahsin Aygün (Q97212678)
","(Süreyya Tahsin Aygün, occupation, bacteriologist)","If Süreyya Tahsin Aygün's occupation involves viewing microorganisms, she would typically use a microscope at work..",,,,,,,,
S133, Was Robert Downey Jr. a good role model as a young man?,Is Jazmin Bean a good role model for young girls?,TRUE,FALSE,Jazmin Bean (Q109467083),"(Jazmin Bean, medical condition, ketamine dependence)","If Jazmin Bean follows proper social values and avoids dangerous and law-braking decisions, she can be considered a good role model for young girls.",,,,,,,,
S134, Did Melania Trump have same profession as Olga Kurylenko?,Does Asami Natsumoto have the same profession as Aeri Ikeda?,TRUE,TRUE,"Asami Natsumoto (Q79018765), Aeri Ikeda (Q18545767)
","(Asami Natsumoto, occupation, race queen), (Aeri Ikeda, occupation, race queen)","If the occupation of Asami Natsumoto and Aeri Ikeda is the same, the answer becomes yes.",,,,,,,,
S135, Did Francois Mitterrand ever meet Barak Obama while they both held the position of President?,Could Liau Hiok-hian and Virginia Raggi have met while they both held the position of council member?,FALSE,FALSE,"Liau Hiok-hian (Q65056127), Virginia Raggi (Q23766020)
","(Liau Hiok-hian, position held, Member of Yunlin County Council (start time, 25 December 2018), (end time, 24 December 2022)), (Virginia Raggi, position held, council member (start time, 10 June 2013), (end time, 30 October 2015))","If Liau Hiok-hian and Virginia Raggi were council members at the same time, it could have been possible for them to meet while they both hold the council member position.",,,,,,,,
