ID,StrategyQA Question,Modified Question,Answer,Answer Original Question,Comments,,,,,
S181,Did Gandhi watch the television show Bonanza?,Could Marjan Faritous have watched Ted Lasso?,FALSE,FALSE,,Did Gandhi watch the television show Bonanza?,,,,
S182,Do you need a farmer to make a circuit board?,Is it likely for Miloš Daković to be able to make a circuit board?,TRUE,FALSE,,Do you need a farmer to make a circuit board?,,,,
S183,Would LeBron James hypothetically glance upwards at Yuri Gagarin?,Would Farhad Zarif glance upwards at Samad Nikkhah Bahrami if they met?,TRUE,FALSE,,Would LeBron James hypothetically glance upwards at Yuri Gagarin?,,,,
S184,Was Saudi Aramco started due to an assassination?,Did Bernard Gohienetxe experience a peaceful death?,FALSE,TRUE,,Was Saudi Aramco started due to an assassination?,,,,
S185,Can dementia be cured with a cast?,Could the medical condition of Ala al-Din Muhammad III be cured with a cast?,FALSE,FALSE,,Can dementia be cured with a cast?,,,,
S186,Would a responsible bartender make a drink for Millie Bobby Brown?,Would a responsible bartender avoid making a drink for Lionel Lundell?,TRUE,FALSE,,Would a responsible bartender make a drink for Millie Bobby Brown?,,,,
S187,Would Ibn Saud tolerate salsa music?,Would Zelimkhan Yandarbiyev avoid drinking rum?,TRUE,FALSE,,Would Ibn Saud tolerate salsa music?,,,,
S188,Are the founders of Skype from Asia?,Is it likely for most employees of Beverina Productions to live in Europe?,TRUE,FALSE,,Are the founders of Skype from Asia?,,,,
S189,Did Marco Polo travel with Christopher Columbus?,Could Bernard Gohienetxe have travelled with Ebrahim Khan Kalantar?,FALSE,FALSE,,Did Marco Polo travel with Christopher Columbus?,,,,
S190,Does Ronda Rousey avoid BBQ restaraunts?,Is it likely for Lee Hyori to avoid BBQ restaurants?,TRUE,TRUE,,Does Ronda Rousey avoid BBQ restaraunts?,,,,
S191,Would Tony Stark be considered a polymath?,Is it correct to consider Aḥmad ibn Muḥammad Ibn al-Surá a polymath?,TRUE,TRUE,,Would Tony Stark be considered a polymath?,,,,
S192,Does Carl Linnaeus share the same final resting place as Michael Jackson?,Does Frédéric Vidalens share the same final resting place as Sadegh Hedayat?,TRUE,FALSE,,Does Carl Linnaeus share the same final resting place as Michael Jackson?,,,,
S193,Is there a Harry Potter character named after Florence?,Is the name of city where Francesco Renzi was born also a common human name?,TRUE,TRUE,,Is there a Harry Potter character named after Florence?,,,,
S194,Did Jack Dempsey ever witness Conor McGregor's fights?,Could Frédéric Vidalens have attended Lionel Lundell's birthday party?,FALSE,FALSE,,Did Jack Dempsey ever witness Conor McGregor's fights?,,,,
S195,Can you carry a Chrysler in a laptop bag?,Can you carry an IKCO Samand in a laptop bag?,FALSE,FALSE,,Can you carry a Chrysler in a laptop bag?,,,,
S196,Could a Diwali celebration feature a crustacean?,Is it likely for Arunasalam Namathevan to celebrate Diwali?,TRUE,TRUE,,Could a Diwali celebration feature a crustacean?,,,,
S197,Would toast for a vegan have margarine instead of butter?,Would a toast for Pablo Busatto include margarine instead of butter?,TRUE,TRUE,,Would toast for a vegan have margarine instead of butter?,,,,
S198,Can Reiki be stored in a bottle?,Can taqiyya be stored in a bottle?,FALSE,FALSE,,Can Reiki be stored in a bottle?,,,,
S199,Was Alexander the Great baptized?,Is it likely for Manouchehr Eghbal to be baptized?,FALSE,FALSE,,Was Alexander the Great baptized?,,,,
S200,Does Dean Cain have less days to birthday than Will Ferrell every 4th of July?,Is the birthday of Rodney Strasser closer to April than the birthday of Alexander Merkel?,TRUE,FALSE,,Does Dean Cain have less days to birthday than Will Ferrell every 4th of July?,,,,
